Y#5:4	Y#5:4				The waitress was not attentive at all.
Y#5:5	Y#5:5				I was looking for banana tempura for dessert and they dont have.
Y#5:6	Y#5:6				Too many other good places to have to settle.
TFS#8:0	TFS#8:0				Not because you are "The Four Seasons"... – you are allowed to charge an arm and a leg for a romatic dinner.
TFS#8:1	TFS#8:1				The food was excellent as well as service, however, I left The Four Seasons very dissappointed.
TFS#8:2	TFS#8:2				I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.
Y#4:0	Y#4:0				Red Dragon Roll - my favorite thing to eat, of any food group - hands down
Y#4:1	Y#4:1				Just go to Yamato and order the Red Dragon Roll.
Y#4:2	Y#4:2				If you don't like it, I don't know what to tell you.
Y#4:3	Y#4:3				The Seafood Dynamite is also otherworldly.
Y#4:4	Y#4:4				I'm not even going to bother to describe it; it speaks for itself.
Y#6:0	Y#6:0				Favorite Sushi in NYC
Y#6:1	Y#6:1				I have eaten at some of the 'best' sushi joints in NYC (Nobu, Bond Street, JewelBako, etc) and Yamato is my favorite.
Y#6:2	Y#6:2				An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.
Y#6:3	Y#6:3				In the summer months, the back garden area is really nice.
Y#6:4	Y#6:4				The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.
Y#6:5	Y#6:5				The Dancing, White River and Millenium rolls are musts.
RL#4:0	RL#4:0				SO GOOD
RL#4:1	RL#4:1				I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ...)
P#10:0	P#10:0				Gross food – Wow-
P#10:1	P#10:1				I can't remember the last time I had such gross food in New York.
P#10:2	P#10:2				My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.
P#10:3	P#10:3				And $11 for a plate of bland guacamole?
P#10:4	P#10:4				Come on.
P#10:5	P#10:5				Don't get me started on the margaritas, either.
P#10:6	P#10:6				Mine tasted like the bartender had forgotten to add the tequila.
P#10:7	P#10:7				Really, I find it rather scandalous that such a crappy restaurant attracts such crowds--this, in the city of a million restaurants, at least 9/10 of which are way better than this one.
P#10:8	P#10:8				Save your money and your time and go somewhere else.
P#10:9	P#10:9				Oh, and I never write reviews--I just was so moved by how bad this place was, I felt it was my duty to spread the word.
TM#3:0	TM#3:0				Great Indian Food!
TM#3:1	TM#3:1				This place was reccomended to me by a friend.
TM#3:2	TM#3:2				When I got there the place was packed but they made sure to seat me quickly.
TM#3:3	TM#3:3				The food was good, the place was clean and affordable.
TM#3:4	TM#3:4				I noticed alot of indian people eatting there which is a great sign for an indian place!
TR#1:0	TR#1:0				This is one of my favorite spot, very relaxing the food is great all the times , celebrated my engagement and my wedding here , it was very well organized .
TR#1:1	TR#1:1				The staff is very good.
TR#1:2	TR#1:2				Love their drink menu.
TR#1:3	TR#1:3				I highly recommend this beautiful place.
TR#8:0	TR#8:0				Nice for one time special occasion.
TR#8:1	TR#8:1				Went for Mom's birthday brunch/lunch.
TR#8:2	TR#8:2				They honored reservation on Sunday afternoon very well. 
TR#8:3	TR#8:3				Be aware.
TR#8:4	TR#8:4				We were offered water for the table but were not told the Voss bottles of water were $8 a piece.
TR#8:5	TR#8:5				Food was OK.
TR#8:6	TR#8:6				Nice view of river and NYC.
BG#1:0	BG#1:0				I come here enjoy very much with husband.
BG#1:1	BG#1:1				Remind me of home.
BG#1:2	BG#1:2				Great survice
ADLT#4:0	ADLT#4:0				MMMMMMMMMmmmmmm so delicious
CLF#1:0	CLF#1:0				A beautifully designed dreamy Egyptian restaurant that gets sceney at night.
CLF#1:1	CLF#1:1				Watch the talented belly dancers as you enjoy delicious baba ganoush that's more lemony than smoky.
CLF#1:2	CLF#1:2				Oh, and there's hookah.
P#9:0	P#9:0				Raymond the bartender rocks!
P#9:1	P#9:1				Pacifico is a great place to casually hang out.
P#9:2	P#9:2				The drinks are great, especially when made by Raymond.
P#9:3	P#9:3				The omlette for brunch is great...
P#9:4	P#9:4				the spinach is fresh, definately not frozen...
P#9:5	P#9:5				quacamole at pacifico is yummy, as are the wings with chimmichuri.
P#9:6	P#9:6				A weakness is the chicken in the salads.
P#9:7	P#9:7				It's just average, just shredded, no seasoning on it.
P#9:8	P#9:8				Also, I personally wasn't a fan of the portobello and asparagus mole.
P#9:9	P#9:9				Overall, decent food at a good price, with friendly people.
BG#6:0	BG#6:0				Best Indian Restaurant in the City
BG#6:1	BG#6:1				Decor needs to be upgraded but the food is amazing!
BzG#4:0	BzG#4:0				This small Astoria souvlaki spot makes what many consider the best gyros in New York.
BzG#4:1	BzG#4:1				Small, bright, and clean, BZ Grill stands apart from the usual run of gyro joints, both in Astoria and out.
BzG#4:2	BzG#4:2				What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality ingredients that might otherwise be expected.
BzG#4:3	BzG#4:3				All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your trip was wasted.
NP#10:0	NP#10:0				Best restaurant in Brooklyn
NP#10:1	NP#10:1				The best!
NP#10:2	NP#10:2				Great food, amazing service, this place is a class act.
NP#10:3	NP#10:3				The veal was incredible last night.
NP#10:4	NP#10:4				Fresh, mind blowing flavors.
NP#10:5	NP#10:5				This place is a must visit!
BHD#2:0	BHD#2:0				You want to have a real hot dog in Brooklyn?
BHD#2:1	BHD#2:1				Skip Nathan's...you can get that at the mall...go to Bark.
BHD#2:2	BHD#2:2				Delicious, creative and fun.
Z#11:0	Z#11:0				Got a date? Go here!
Z#11:1	Z#11:1				Every time I have a special occasion with my boyfriend I have a hard time going anywhere else.
Z#11:2	Z#11:2				It is so romantic.
Z#11:3	Z#11:3				Its dark, and cozy.. there is always jazz music playing when we go.
Z#11:4	Z#11:4				Most of the booths allow you to sit next to eachother without looking like 'that' couple.
Z#11:5	Z#11:5				The food is all shared so we get to order together and eat together.
Z#11:6	Z#11:6				I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).
Z#11:7	Z#11:7				Once you try it for a special occasion beware.. you can't stop!
Z#11:8	Z#11:8				You'll be ther for every anniversary, birthday, valentines day...
WE#4:0	WE#4:0				For a Fabulous Wedding!
WE#4:1	WE#4:1				My daughter's wedding reception at Water's Edge received the highest compliments from our guests.
WE#4:2	WE#4:2				Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!
WE#4:3	WE#4:3				Service was wonderful;
WE#4:4	WE#4:4				everyone was cheerfully cooperative and helpful.
WE#4:5	WE#4:5				Paul, the maitre d', was totally professional and always on top of things.
WE#4:6	WE#4:6				Thank you everyone at Water's Edge.
WE#4:7	WE#4:7				Ruth, mother of the Bride
TR#2:0	TR#2:0				would NOT go back.
TR#2:1	TR#2:1				Service ok but unfriendly,filthy bathroom.
TR#2:2	TR#2:2				The high prices you're going to pay is for the view not for the food.
TR#2:3	TR#2:3				The bar drinks were Eh, ok to say the least.
TR#2:4	TR#2:4				The stuff tilapia was horrid...tasted like cardboard.
TR#2:5	TR#2:5				We thought the dessert would be better, Wrong!
TR#2:6	TR#2:6				$170 down the toilet...
TR#2:7	TR#2:7				oh speaking of bathroom , the mens bathroom was disgusting.
TR#2:8	TR#2:8				The floor was wet, the trash can filled with hand towels n all over the floor, no soap, and no hand towels left.
TR#2:9	TR#2:9				Go to son cubano in edgewater nj instead.
TFS#10:0	TFS#10:0				Good Experience
TFS#10:1	TFS#10:1				During our trip to NYC, we made reservations to dine in the pool room of the Four Seasons for their pre-theater menu (offering a modified menu for $65 pp).
TFS#10:2	TFS#10:2				The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.
TFS#10:3	TFS#10:3				The bread we received was horrible - rock hard and cold - and the "free" appetizer of olives was disappointing.
TFS#10:4	TFS#10:4				However, our main course was wonderful.
TFS#10:5	TFS#10:5				I had fish and my husband had the filet - both of which exceeded our expectations.
TFS#10:6	TFS#10:6				The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.
TFS#10:7	TFS#10:7				When we inquired about ports - the waitress listed off several but did not know taste variations or cost.
TFS#10:8	TFS#10:8				Not what I would expect for the price and prestige of this location.
TFS#10:9	TFS#10:9				All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.
Z#9:0	Z#9:0				short and sweet – seating is great:it's romantic,cozy and private.
Z#9:1	Z#9:1				The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.
Z#9:2	Z#9:2				The service was extremely fast and attentive(thanks to the service button on your table) but I barely understood 1 word when the waiter took our order.
Z#9:3	Z#9:3				The food was ok and fair nothing to go crazy.
Z#9:4	Z#9:4				over.
Z#9:5	Z#9:5				Over all the looks of the place exceeds the actual meals.
Z#9:6	Z#9:6				So what you really end up paying for is the restaurant not the food.
